Order ID,Amount,Profit,Quantity,Category,Sub-Category,Order Date,CustomerName,City
B-25936,9992,3696,20,Office Supplies,Pens,29/08/2022,Brent Hernandez,Rochester
B-25936,9619,3420,7,Office Supplies,Binders,09/10/2021,Patrick Williams,Rochester
B-25936,9619,3420,7,Office Supplies,Binders,15/04/2022,Susan Burke,Austin
B-25936,9619,3420,7,Office Supplies,Binders,29/08/2022,Brent Hernandez,Rochester
B-25884,9538,3158,20,Electronics,Printers,04/09/2024,Sean Elliott,San Francisco
B-25884,9538,3158,20,Electronics,Printers,18/05/2021,Wanda West,Cleveland
B-25884,9035,1227,14,Furniture,Chairs,04/09/2024,Sean Elliott,San Francisco
B-25884,9035,1227,14,Furniture,Chairs,18/05/2021,Wanda West,Cleveland
B-26287,2684,670,2,Office Supplies,Paper,02/07/2024,Renee Solomon,Tampa
B-26287,822,147,5,Furniture,Sofas,02/07/2024,Renee Solomon,Tampa
B-26287,9730,2341,2,Furniture,Chairs,02/07/2024,Renee Solomon,Tampa
B-26287,2483,236,2,Electronics,Electronic Games,02/07/2024,Renee Solomon,Tampa
B-26564,1297,600,7,Office Supplies,Binders,16/02/2024,Daryl Miles,Orlando
B-26564,7909,1942,19,Electronics,Phones,16/02/2024,Daryl Miles,Orlando
B-26293,9768,4518,8,Furniture,Tables,26/11/2021,Michael Hunt,Dallas
B-26293,4968,934,5,Furniture,Sofas,26/11/2021,Michael Hunt,Dallas
B-26293,1731,149,4,Electronics,Laptops,26/11/2021,Michael Hunt,Dallas
B-25915,3433,1169,10,Office Supplies,Binders,01/02/2024,Adam Clark,San Francisco
B-25915,3433,1169,10,Office Supplies,Binders,09/09/2021,Amy Olsen,Springfield
B-25915,3433,1169,10,Office Supplies,Binders,08/09/2021,Stacey Miller,San Diego
B-25915,3887,1490,1,Office Supplies,Binders,01/02/2024,Adam Clark,San Francisco
B-25915,3887,1490,1,Office Supplies,Binders,09/09/2021,Amy Olsen,Springfield
B-25915,3887,1490,1,Office Supplies,Binders,08/09/2021,Stacey Miller,San Diego
B-26496,1801,641,20,Office Supplies,Markers,09/07/2024,Daniel Mosley,Los Angeles
B-26496,5301,817,10,Furniture,Tables,09/07/2024,Daniel Mosley,Los Angeles
B-26496,1166,520,12,Office Supplies,Paper,09/07/2024,Daniel Mosley,Los Angeles
B-26496,3196,1411,15,Office Supplies,Paper,09/07/2024,Daniel Mosley,Los Angeles
B-25856,3428,350,1,Furniture,Chairs,28/02/2023,Monica Gibson,Springfield
B-25856,7223,2433,12,Office Supplies,Binders,28/02/2023,Monica Gibson,Springfield
B-25856,3731,647,1,Office Supplies,Pens,28/02/2023,Monica Gibson,Springfield
B-26899,8903,4401,18,Office Supplies,Pens,08/08/2022,Christopher Jordan,Columbus
B-25916,6009,2107,7,Electronics,Phones,07/12/2022,Christina Davis,Chicago
B-25916,6009,2107,7,Electronics,Phones,29/04/2024,Claudia Curry,Austin
B-25916,2858,230,3,Furniture,Tables,07/12/2022,Christina Davis,Chicago
B-25916,2858,230,3,Furniture,Tables,29/04/2024,Claudia Curry,Austin
B-25916,8175,525,7,Furniture,Sofas,07/12/2022,Christina Davis,Chicago
B-25916,8175,525,7,Furniture,Sofas,29/04/2024,Claudia Curry,Austin
B-25916,5846,586,18,Furniture,Sofas,07/12/2022,Christina Davis,Chicago
B-25916,5846,586,18,Furniture,Sofas,29/04/2024,Claudia Curry,Austin
B-26428,706,197,11,Electronics,Laptops,02/01/2022,Brandon Anderson,Austin
B-26332,9835,2571,16,Furniture,Tables,10/06/2022,George Foster,Dallas
B-26332,9835,2571,16,Furniture,Tables,16/11/2021,Nicholas Anderson,Orlando
B-26332,9835,2571,16,Furniture,Tables,17/08/2022,Emily Ellison,Los Angeles
B-26332,9691,3056,13,Office Supplies,Markers,10/06/2022,George Foster,Dallas
B-26332,9691,3056,13,Office Supplies,Markers,16/11/2021,Nicholas Anderson,Orlando
B-26332,9691,3056,13,Office Supplies,Markers,17/08/2022,Emily Ellison,Los Angeles
B-26332,7826,1221,14,Furniture,Bookcases,10/06/2022,George Foster,Dallas
B-26332,7826,1221,14,Furniture,Bookcases,16/11/2021,Nicholas Anderson,Orlando
B-26332,7826,1221,14,Furniture,Bookcases,17/08/2022,Emily Ellison,Los Angeles
B-25303,770,241,11,Furniture,Sofas,23/11/2021,Darren Perez,Austin
B-25303,770,241,11,Furniture,Sofas,04/03/2023,Michelle Hunter,Cincinnati
B-26507,9895,1598,20,Furniture,Bookcases,16/12/2023,Janet Guerrero,Rochester
B-25983,6517,1581,10,Office Supplies,Paper,19/05/2024,Jeffrey Kline,Miami
B-25983,6517,1581,10,Office Supplies,Paper,14/05/2020,Ryan Bullock,Tampa
B-25983,1166,349,11,Furniture,Tables,19/05/2024,Jeffrey Kline,Miami
B-25983,1166,349,11,Furniture,Tables,14/05/2020,Ryan Bullock,Tampa
B-25156,9820,793,16,Furniture,Chairs,29/08/2021,Tom Lawson,Buffalo
B-26759,8563,2624,8,Office Supplies,Binders,10/11/2024,Rebecca Smith,Dallas
B-26759,4441,281,20,Electronics,Printers,10/11/2024,Rebecca Smith,Dallas
B-26244,7340,2271,8,Office Supplies,Paper,05/12/2021,William Welch,Orlando
B-26244,5442,1610,1,Electronics,Phones,05/12/2021,William Welch,Orlando
B-26365,1895,391,14,Furniture,Tables,05/07/2024,Mr. Curtis Bailey,Tampa
B-26365,5323,322,13,Office Supplies,Binders,05/07/2024,Mr. Curtis Bailey,Tampa
B-26212,8850,279,13,Office Supplies,Markers,25/06/2024,Janet Carlson,Miami
B-26212,8667,1266,6,Office Supplies,Paper,25/06/2024,Janet Carlson,Miami
B-25042,6903,105,1,Furniture,Tables,31/05/2024,Spencer Spears,Chicago
B-25042,8793,3010,7,Office Supplies,Pens,31/05/2024,Spencer Spears,Chicago
B-25901,9883,4812,16,Office Supplies,Paper,20/10/2020,Jeffrey Middleton,Buffalo
B-25901,9883,4812,16,Office Supplies,Paper,11/08/2022,Veronica Kelley,Orlando
B-25901,9883,4812,16,Office Supplies,Paper,17/10/2021,Leslie Bean,Springfield
B-25901,5210,1185,7,Office Supplies,Paper,20/10/2020,Jeffrey Middleton,Buffalo
B-25901,5210,1185,7,Office Supplies,Paper,11/08/2022,Veronica Kelley,Orlando
B-25901,5210,1185,7,Office Supplies,Paper,17/10/2021,Leslie Bean,Springfield
B-26747,3574,851,4,Electronics,Printers,23/02/2022,Amy Wilson,Los Angeles
B-26747,576,76,13,Furniture,Sofas,23/02/2022,Amy Wilson,Los Angeles
B-26698,1860,457,13,Electronics,Printers,20/09/2023,Susan Ramirez,Cleveland
B-25841,782,374,8,Office Supplies,Pens,19/01/2021,Jacob Meyer,Peoria
B-25841,4371,1852,1,Electronics,Laptops,19/01/2021,Jacob Meyer,Peoria
B-26032,8346,1176,1,Electronics,Phones,21/08/2020,Scott Lewis,Houston
B-26032,8346,1176,1,Electronics,Phones,17/04/2023,Eric Griffith,Chicago
B-26032,8346,1176,1,Electronics,Phones,24/12/2023,Anna Ferguson,San Francisco
B-26032,6218,1125,5,Furniture,Tables,21/08/2020,Scott Lewis,Houston
B-26032,6218,1125,5,Furniture,Tables,17/04/2023,Eric Griffith,Chicago
B-26032,6218,1125,5,Furniture,Tables,24/12/2023,Anna Ferguson,San Francisco
B-26032,5167,253,14,Electronics,Printers,21/08/2020,Scott Lewis,Houston
B-26032,5167,253,14,Electronics,Printers,17/04/2023,Eric Griffith,Chicago
B-26032,5167,253,14,Electronics,Printers,24/12/2023,Anna Ferguson,San Francisco
B-26032,2799,1239,5,Furniture,Sofas,21/08/2020,Scott Lewis,Houston
B-26032,2799,1239,5,Furniture,Sofas,17/04/2023,Eric Griffith,Chicago
B-26032,2799,1239,5,Furniture,Sofas,24/12/2023,Anna Ferguson,San Francisco
B-25171,3234,1029,20,Office Supplies,Markers,20/03/2022,David Figueroa,Miami
B-26939,4920,775,12,Furniture,Tables,12/08/2021,Theresa Medina,Springfield
B-26939,9078,2213,15,Furniture,Bookcases,12/08/2021,Theresa Medina,Springfield
B-26347,8586,3826,7,Furniture,Bookcases,21/12/2020,Mary Smith,Miami
B-26347,8586,3826,7,Furniture,Bookcases,07/07/2023,Lance Cain,Tampa
B-25388,5047,2211,13,Furniture,Sofas,13/08/2023,Alexandra Moran,San Francisco
B-25388,5047,2211,13,Furniture,Sofas,04/02/2021,Sara Castro,Chicago
B-25388,5047,2211,13,Furniture,Sofas,16/09/2022,Shawn Leach,Peoria
B-25388,5047,2211,13,Furniture,Sofas,06/05/2022,Mark Boyle,Buffalo
B-26419,3657,163,1,Furniture,Sofas,28/05/2021,John Stevens,San Francisco
B-25157,6471,2842,18,Electronics,Electronic Games,18/07/2024,Lisa Graham,Peoria
B-25342,949,301,9,Office Supplies,Binders,06/12/2024,Nancy Jones,Cleveland
B-25342,6823,771,6,Office Supplies,Binders,06/12/2024,Nancy Jones,Cleveland
B-25342,4364,831,2,Furniture,Tables,06/12/2024,Nancy Jones,Cleveland
B-26165,6671,2797,10,Electronics,Phones,12/12/2022,Darryl Robbins,Peoria
B-26571,7472,1037,3,Office Supplies,Paper,20/10/2022,Kimberly Smith,Springfield
B-26571,9548,1806,9,Electronics,Printers,20/10/2022,Kimberly Smith,Springfield
B-25400,7759,3741,17,Electronics,Printers,24/03/2021,Maria Thomas,Miami
B-25400,7759,3741,17,Electronics,Printers,06/01/2025,Nicholas Johnson,Dallas
B-25400,7521,3457,16,Office Supplies,Markers,24/03/2021,Maria Thomas,Miami
B-25400,7521,3457,16,Office Supplies,Markers,06/01/2025,Nicholas Johnson,Dallas
B-25885,9704,4339,12,Office Supplies,Pens,06/03/2021,Dawn Howard,Houston
B-25885,4948,2356,18,Electronics,Printers,06/03/2021,Dawn Howard,Houston
B-25885,6435,334,10,Electronics,Electronic Games,06/03/2021,Dawn Howard,Houston
B-25004,9965,3033,16,Office Supplies,Markers,17/06/2020,Jennifer Marshall,San Francisco
B-25004,9965,3033,16,Office Supplies,Markers,01/09/2023,Frank Garcia,Buffalo
B-26213,1523,234,3,Furniture,Sofas,08/06/2023,Terri Madden,Rochester
B-26213,9073,424,7,Electronics,Electronic Games,08/06/2023,Terri Madden,Rochester
B-25025,6447,3079,20,Electronics,Laptops,25/03/2021,James Gutierrez,Rochester
B-25025,8947,2807,6,Electronics,Electronic Games,25/03/2021,James Gutierrez,Rochester
B-26804,914,400,8,Office Supplies,Pens,03/01/2021,Morgan Sellers,Los Angeles
B-26804,1548,666,3,Office Supplies,Paper,03/01/2021,Morgan Sellers,Los Angeles
B-26797,2759,1149,6,Furniture,Tables,27/12/2024,Caitlin Thomas,New York City
B-26556,1341,615,4,Electronics,Laptops,12/08/2022,Kimberly Greene,Orlando
B-25861,9851,2669,19,Electronics,Electronic Games,28/03/2022,Tammy Anthony,Cleveland
B-25861,9851,2669,19,Electronics,Electronic Games,15/07/2023,Jennifer Chase,Buffalo
B-25861,9851,2669,19,Electronics,Electronic Games,22/09/2022,Cassandra Farley,Orlando
B-25861,9989,3930,14,Furniture,Tables,28/03/2022,Tammy Anthony,Cleveland
B-25861,9989,3930,14,Furniture,Tables,15/07/2023,Jennifer Chase,Buffalo
B-25861,9989,3930,14,Furniture,Tables,22/09/2022,Cassandra Farley,Orlando
B-25112,7421,958,10,Furniture,Tables,20/12/2022,Justin Vasquez,Houston
B-25112,7421,958,10,Furniture,Tables,16/01/2022,Melissa Morales,Houston
B-25112,7421,958,10,Furniture,Tables,29/01/2023,Tyler Thompson,Dallas
B-25223,3099,479,1,Office Supplies,Paper,15/01/2022,Heidi Davis,Buffalo
B-25223,2521,906,7,Electronics,Phones,15/01/2022,Heidi Davis,Buffalo
B-25714,6962,3429,12,Electronics,Electronic Games,24/03/2024,Charles Lane,Dallas
B-25714,6962,3429,12,Electronics,Electronic Games,19/02/2025,Joyce Good MD,Miami
B-26607,1085,301,20,Furniture,Bookcases,13/07/2024,Maria Miller,Buffalo
B-25038,738,342,2,Furniture,Chairs,28/04/2023,Terry Mcdaniel,Cincinnati
B-25038,738,342,2,Furniture,Chairs,05/12/2020,Lisa Jacobs,Buffalo
B-25038,738,342,2,Furniture,Chairs,14/05/2024,Jeff Duncan,Cincinnati
B-25038,738,342,2,Furniture,Chairs,18/01/2022,Pamela Jones,New York City
B-26672,1366,242,17,Electronics,Electronic Games,18/09/2023,Renee Robinson,Columbus
B-26672,1518,155,13,Office Supplies,Markers,18/09/2023,Renee Robinson,Columbus
B-25747,2962,1470,1,Electronics,Phones,12/05/2021,Jessica Kidd,Buffalo
B-25747,2962,1470,1,Electronics,Phones,17/09/2023,Nicholas Martin,Tampa
B-25747,7131,718,12,Electronics,Printers,12/05/2021,Jessica Kidd,Buffalo
B-25747,7131,718,12,Electronics,Printers,17/09/2023,Nicholas Martin,Tampa
B-25747,4200,855,10,Office Supplies,Markers,12/05/2021,Jessica Kidd,Buffalo
B-25747,4200,855,10,Office Supplies,Markers,17/09/2023,Nicholas Martin,Tampa
B-26322,5934,1563,2,Office Supplies,Markers,06/09/2024,David Brown,Peoria
B-26613,2701,322,11,Electronics,Printers,18/06/2022,Amber Moore,New York City
B-26613,7273,2702,18,Office Supplies,Paper,18/06/2022,Amber Moore,New York City
B-25413,2465,699,18,Office Supplies,Markers,22/05/2020,James Williams,San Francisco
B-26466,3479,1087,2,Office Supplies,Markers,17/10/2024,Karina Barr,Dallas
B-26466,5457,1765,7,Electronics,Printers,17/10/2024,Karina Barr,Dallas
B-26610,4957,1152,8,Office Supplies,Markers,22/03/2022,Meghan Rush,Cleveland
B-26209,4404,858,17,Office Supplies,Pens,17/03/2024,Bianca Brown,Columbus
B-26209,8776,2529,15,Furniture,Sofas,17/03/2024,Bianca Brown,Columbus
B-26622,9536,1437,9,Electronics,Phones,02/04/2020,Timothy Jensen,Orlando
B-26622,2225,589,7,Furniture,Sofas,02/04/2020,Timothy Jensen,Orlando
B-26601,9574,4045,19,Furniture,Bookcases,13/03/2024,Melinda Montoya,San Francisco
B-26601,4382,482,17,Electronics,Electronic Games,13/03/2024,Melinda Montoya,San Francisco
B-25894,8200,257,19,Electronics,Laptops,21/03/2023,Tammy Bell,Cincinnati
B-25894,9316,3003,13,Furniture,Sofas,21/03/2023,Tammy Bell,Cincinnati
B-25894,6379,3128,15,Electronics,Electronic Games,21/03/2023,Tammy Bell,Cincinnati
B-26969,3348,568,5,Office Supplies,Markers,02/03/2024,Connie Richards,Cleveland
B-26969,3348,568,5,Office Supplies,Markers,30/04/2021,Peter Ward,Rochester
B-26969,8856,2020,9,Office Supplies,Pens,02/03/2024,Connie Richards,Cleveland
B-26969,8856,2020,9,Office Supplies,Pens,30/04/2021,Peter Ward,Rochester
B-26312,1760,619,16,Furniture,Sofas,15/09/2021,Jonathan Alvarez,Columbus
B-26312,1760,619,16,Furniture,Sofas,28/01/2023,Becky Hodges,Houston
B-26312,6351,986,15,Electronics,Printers,15/09/2021,Jonathan Alvarez,Columbus
B-26312,6351,986,15,Electronics,Printers,28/01/2023,Becky Hodges,Houston
B-26837,869,373,14,Office Supplies,Paper,08/07/2021,Larry Hill,New York City
B-26837,869,373,14,Office Supplies,Paper,08/04/2020,Amber Moon,Cleveland
B-26837,1486,114,7,Furniture,Bookcases,08/07/2021,Larry Hill,New York City
B-26837,1486,114,7,Furniture,Bookcases,08/04/2020,Amber Moon,Cleveland
B-26166,2999,145,13,Office Supplies,Binders,23/08/2022,Cynthia Wilcox,Chicago
B-26166,5142,1916,20,Office Supplies,Paper,23/08/2022,Cynthia Wilcox,Chicago
B-25695,1239,575,17,Electronics,Laptops,17/12/2022,Rebecca Wright,Rochester
B-25695,1239,575,17,Electronics,Laptops,08/06/2022,Sarah Flores,Springfield
B-25695,1262,515,16,Electronics,Electronic Games,17/12/2022,Rebecca Wright,Rochester
B-25695,1262,515,16,Electronics,Electronic Games,08/06/2022,Sarah Flores,Springfield
B-26068,1033,254,5,Furniture,Bookcases,28/08/2020,Carol Norman,Rochester
B-26023,1518,159,19,Electronics,Printers,26/09/2020,Stephanie Gardner,San Diego
B-26677,8581,2444,2,Office Supplies,Paper,13/12/2020,Philip Baker,Peoria
B-26677,8581,2444,2,Office Supplies,Paper,19/11/2020,Randall Dennis,Orlando
B-25701,1167,463,5,Office Supplies,Pens,13/09/2023,Suzanne Cross,Austin
B-25701,2841,803,20,Electronics,Laptops,13/09/2023,Suzanne Cross,Austin
B-25701,5680,2159,19,Furniture,Tables,13/09/2023,Suzanne Cross,Austin
B-26523,8204,2382,6,Office Supplies,Pens,31/03/2020,Jasmine Delgado,Chicago
B-26523,8204,2382,6,Office Supplies,Pens,20/10/2020,Kristen Harper,Buffalo
B-26523,2850,904,6,Electronics,Phones,31/03/2020,Jasmine Delgado,Chicago
B-26523,2850,904,6,Electronics,Phones,20/10/2020,Kristen Harper,Buffalo
B-25880,907,391,9,Office Supplies,Pens,04/08/2023,Kaitlyn Graham MD,New York City
B-26898,2174,265,19,Office Supplies,Pens,11/04/2022,Dean Avila,Cincinnati
B-26898,8541,2029,12,Electronics,Electronic Games,11/04/2022,Dean Avila,Cincinnati
B-26898,1931,551,3,Furniture,Bookcases,11/04/2022,Dean Avila,Cincinnati
